Ime,Priljubljenost,Cena [£],Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
"""Baby Blanket"" - Free Blanket Crochet Pattern in Paintbox Yarns Cotton DK",2687,0.00,Blankets,Paintbox Yarns,,English,1,5,Beginner
Dip Down Crochet Pullover in Bernat Softee Baby Cotton - Downloadable PDF,2688,0.00,Sweaters,Bernat,,English,1,2,Beginner
Pumpkin Stack,2689,0.00,Homeware,Independent Designer,Cute Crochet Makes,English,1,2,Beginner
Audrey Bookmark,2690,0.00,Homeware,Independent Designer,Lisa van Klaveren,English,1,2,Intermediate
Watermelon Clutch bag,2691,0.00,Accessories,Independent Designer,Kath Webber,English,1,6,Beginner
Squid Amigurumi Bag,2692,0.00,Accessories,Independent Designer,Amanda Maciel,English,1,,Beginner
Sea slug,2693,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Around the Block Sweater - Free Jumper Crochet Pattern for Women in Paintbox Yarns Cotton DK,2694,0.00,Sweaters,Paintbox Yarns,Paintbox Yarns,English,1,7,Intermediate
"""Jamie the Kitten"" - Free Crochet Pattern For Toys in Paintbox Yarns Simply DK - 009",2695,0.00,Toys,Paintbox Yarns,Lucy Collins,English,1,7,Intermediate
Crochet Day of the Dead Sugar Skull Earrings,2696,0.00,Accessories,Independent Designer,Spider Mambo,English,1,,Advanced
Hatosaurus Hat in Caron Simply Soft - Downloadable PDF,2697,0.00,Hats,Caron,,English,1,2,Beginner
Back to school: Apple and worm Amigurumi,2698,0.00,Toys,Independent Designer,Ms.Toosh,English,1,4,Intermediate
Easy Beginner Double Crochet Scarf,2699,0.00,Accessories,Independent Designer,Susan Lowman,English,1,2,Beginner
Sampler Scarf in Cascade Yarns Anthem Chunky - C358 - Downloadable PDF,2700,0.00,Scarves & Shawls,Cascade Yarns,Kristen Stoltzfus Clay,English,1,3,Intermediate
Top with Lace in Schachenmayr Micro - 6647 - Downloadable PDF,2701,0.00,Tops,Schachenmayr,,English|German,1,2,
Baby Blue Whale Vincent,2702,0.00,Toys,Independent Designer,Haakneus,Dutch|English,1,10,Beginner
Caidree x Wool and the Gang Plant Friendly Patterns in Buddy Hemp - Downloadable PDF,2703,0.00,Home,Wool and the Gang,,English,5,48,Intermediate
Crochet Landscape Rings,2704,0.00,Accessories,Independent Designer,Wool Bags,English,1,1,Beginner
Granny Goes Bright Crochet Blanket in Caron Simply Soft and Simply Soft Brites - Downloadable PDF,2705,0.00,Blankets,Caron,,English,1,1,Beginner
Treble Flower Coaster Set with Video - US Terminology,2706,0.00,Homeware,Independent Designer,Merrian Holland,English,1,15,Intermediate
Mae the Flower,2707,0.00,Toys,Independent Designer,Cara Engwerda,English,1,7,Intermediate
Amateur Argyle Scarf - Free Crochet Pattern in Paintbox Yarns Chunky Pots,2708,0.00,Scarves & Shawls,Paintbox Yarns,,English,1,5,Intermediate
Draft Dodger Leg Warmers,2709,0.00,Draft Dodger Leg Warmers,Independent Designer,Cobbler's Cabin,English,1,1,Beginner
Pokeball,2710,0.00,Toys,Independent Designer,anniegurumi,English,1,2,Intermediate
Sweetpea Headband,2711,0.00,Headbands,Independent Designer,EmmeClaire Crochet,English,1,12,Beginner
Crochet Starfish and Fish,2712,0.00,Homeware,Independent Designer,Barbara Summers,English,1,3,Beginner
Tulip Fingerless Mittens,2713,0.00,Accessories,Independent Designer,Nomad Stitches,English,1,11,Beginner
The Mini Star Garland,2714,0.00,Homeware,Independent Designer,North Star Knits,English,1,,
Toy Bear,2715,0.00,Toys,Independent Designer,Tatiana Kucherovska,English,1,9,Intermediate
Double Walled Bowl (any size),2716,0.00,Homeware,Independent Designer,Elise Mann,English,1,7,Beginner
In the Clouds Baby Sweater,2717,0.00,Sweaters,Independent Designer,Burgundy & Blush,English,1,,Beginner
Rainbow Doily Alexa,2718,0.00,Homeware,Independent Designer,NadelLabor,Diagrams/chartsonly|suitableforalllanguages|English,1,4,Intermediate
Crochet Pattern Bow Tie or Rose for your Dog!,2719,0.00,Crochet Pattern Bow Tie or Rose for your Dog!,Independent Designer,amigoll9,English,1,5,Beginner
A Perfect Match C2C Cushion,2720,0.00,Cushions,Independent Designer,Crafty CC,English,1,,Intermediate
Summer Coaster,2721,0.00,Homeware,Independent Designer,Annemarie Benthem,English,1,3,Intermediate
Pink Little Lady - free amigurumi crochet pattern,2722,0.00,Toys,Independent Designer,Sayjai Thawornsupacharoen,English,1,7,Intermediate
Flowers Shawl in Caron Simply Soft - Downloadable PDF,2723,0.00,Shawls,Caron,Darlene Dale,English,1,3,Beginner
Doily Baby Blanket in Red Heart Soft Baby Steps - LW2487EN,2724,0.00,Blankets,Red Heart,,English,1,,Intermediate
Hobo Bag in Bernat Handicrafter Cotton Twists - 405 - Downloadable PDF,2725,0.00,Hobo Bag in Bernat Handicrafter Cotton Twists - 405 - Downloadable PDF,Bernat,,English,1,1,Beginner
Donut keychain,2726,0.00,Homeware,Independent Designer,Ternura Amigurumi,English,1,6,Intermediate
Ladies' Vest with Lace in Schachenmayr Catania - S6938 - Downloadable PDF,2727,0.00,Waistcoats,Schachenmayr,,English|German,1,2,
Cru Neck Top in Adriafil Gem - Downloadable PDF,2728,0.00,Tops,Adriafil,,English,1,1,
Lucky Four-Leaf Clover Amigurumi Crochet Pattern by erinmaycrochet,2729,0.00,Toys,Independent Designer,erinmaycrochet,English,1,10,Intermediate
Christmas Pickle Ornament,2730,0.00,Toys,Independent Designer,Wendi Gratz,English,1,,Intermediate
Quirky Mini Frog,2731,0.00,Toys,Independent Designer,Jennifer Beal,English,1,3,Intermediate
Princess Mouse,2732,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Grape Granny Square,2733,0.00,Grape Granny Square,Independent Designer,Ali Crafts Designs,English,1,3,Intermediate
Cluck Cluck Change Purse in Lily Sugar 'n Cream Solids - Downloadable PDF,2734,0.00,Homeware,Lily Sugar 'n Cream,,English,1,2,Beginner
Cornish Pixie Amigurumi,2735,0.00,Toys,Independent Designer,Monchou Designs,English,1,7,Intermediate
Scrunchies Velvet,2736,0.00,Accessories,Independent Designer,Elisabete Murcela,English,1,6,Beginner
T'Lee Bag in Wool and the Gang Mixtape Yarn - Downloadable PDF,2737,0.00,T'Lee Bag in Wool and the Gang Mixtape Yarn - Downloadable PDF,Wool and the Gang,Wool and the Gang,English|French|German,1,72,Intermediate
Desert Flower,2738,0.00,Homeware,Independent Designer,AnaMoraisSoares,Afrikaans|Danish|Dutch|English|Finnish|French|German|Hebrew|Swedish,1,124,Intermediate
Americana Afghan in Lion Brand Heartland - L32036,2739,0.00,Blankets,Lion Brand,,English,1,,
Sideways Cardigan in Berroco Comfort DK - Downloadable PDF,2740,0.00,Cardigans,Berroco,Berroco Design Team,English,1,3,Intermediate
Burchell's Zebra Jacket - Free Crochet Pattern For Women in Paintbox Yarns,2741,0.00,Cardigans,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Baby Bomber,2742,0.00,Cardigans,Independent Designer,Burgundy & Blush,English,1,,Beginner
Colourful Swing Coat - Free Crochet Pattern For Women in Paintbox Yarns Simply Chunky & Chunky Pots,2743,0.00,Coats,Paintbox Yarns,,English,1,5,Intermediate
Uplifter,2744,0.00,Accessories,Independent Designer,Susan Kennedy,English,1,2,Beginner
Japanese Knot Project Bag,2745,0.00,Accessories,Independent Designer,Julie Blagojevich,English,1,4,Intermediate
White Granny Square Pillows in Schachenmayr Catania - S9027B - Downloadable PDF,2746,0.00,Cushions,Schachenmayr,,Dutch|English|French|German,1,2,
The Waterfall Scarf,2747,0.00,Accessories,Independent Designer,Hobbydingen,Dutch|English,1,,Beginner
Happy Little Christmas Trees,2748,0.00,Homeware,Independent Designer,Hattie Risdale,English,1,5,Beginner
You Tunic Me On in Bernat Vickie Howell Cotton-ish - Downloadable PDF,2749,0.00,Tops,Bernat,,English,1,2,Intermediate
Mr. & Mrs. Skeleton in Lion Brand 24/7 Cotton - M21177 - Downloadable PDF,2750,0.00,Toys,Lion Brand,,English,2,5,Intermediate
Lacy Square Throw in Caron Simply Soft - Downloadable PDF,2751,0.00,Blankets,Caron,Kimberly K. McAlindin,English,1,3,Beginner
Vertical Lace Topper in Caron Simply Soft - Downloadable PDF,2752,0.00,Cardigans,Caron,,English,1,3,Intermediate
Theo's Tractor Crochet Wall Hanging,2753,0.00,Homeware,Independent Designer,Nina Attridge,English,1,8,Intermediate
Party by the Pool Coverup in Caron Simply Soft Party - Downloadable PDF,2754,0.00,Dresses,Caron,Shannon Mullett-Bowlsby,English,1,4,Intermediate
Amigurumi Unicorn,2755,0.00,Toys,Independent Designer,Sweet N Cute Creations,English,1,,Beginner
Cuddly Bunny,2756,0.00,Toys,Independent Designer,Little Green Crafts,English,1,3,Beginner
Rocketship Crochet Baby Blanket in Bernat Bundle Up - Downloadable PDF,2757,0.00,Blankets,Bernat,,English,1,3,Intermediate
Nico Shawl in Berroco Dulce - Downloadable PDF,2758,0.00,Shawls,Berroco,Berroco Design Team,English,1,4,Intermediate
Mountain Dog Bandana,2759,0.00,Mountain Dog Bandana,Independent Designer,Susan Kennedy,English,1,2,Beginner
Uterus Keychain,2760,0.00,Accessories,Independent Designer,The Craft Frog,English,1,,
Granny Square with Fantastic Cat,2761,0.00,Homeware,Independent Designer,Stepsteps,English,1,3,Intermediate
Timothy the little bear,2762,0.00,Toys,Independent Designer,Rupinder  Kaur,English,,8,Beginner
Pie Plate Holder in Bernat Handicrafter Cotton Solids,2763,0.00,Accessories,Bernat,,English,1,,
Rose Table Runner,2764,0.00,Homeware,Independent Designer,Cobbler's Cabin,English,1,2,Beginner
Asia Twin Set in Adriafil Puff and Rafia - Downloadable PDF,2765,0.00,Skirts,Adriafil,,English,2,1,
Happy Little Taco,2766,0.00,Toys,Independent Designer,Melissa's Crochet Patterns,English,1,,
Dipped Striped Crochet Hat in Patons Classic Wool DK Superwash - Downloadable PDF,2767,0.00,Hats,Patons US,,English,1,1,Beginner
Crochet Beret & Scarf in Lion Brand Homespun,2768,0.00,Hats,Lion Brand,,English,2,,
Giraffe African Spirit,2769,0.00,Cushions,Independent Designer,Sarah Athey,English,1,4,Intermediate
Flower keychain,2770,0.00,Accessories,Independent Designer,Annemarie Benthem,English,1,,Beginner
Bernie the Ghost,2771,0.00,Toys,Independent Designer,Cara Engwerda,English,1,4,Beginner
"Scrunchy, Slouchy Slipper Socks in Lion Brand Wool-Ease Thick & Quick - 915",2772,0.00,Socks,Lion Brand,,English,1,,
Amigurumi Häkelanleitung Fliegenpilz,2773,0.00,Homeware,Independent Designer,amigoll9,German,1,5,Beginner
Karamell Sweater,2774,0.00,Jumpers,Independent Designer,Hooked by Anna,English,1,,Intermediate
Geo the Duck Amigurumi,2775,0.00,Toys,Independent Designer,Critter-iffic Crochet,English,1,,Intermediate
Morning Dew Cardigan - Cardigan Crochet Pattern in Paintbox Yarns Cotton DK,2776,0.00,Cardigans,Paintbox Yarns,,English,1,6,Intermediate
Piña bag 3 in 1,2777,0.00,Accessories,Independent Designer,madebyJORI,Dutch|English,1,16,Intermediate
Donut Schlüsselanhänger Häkelanleitung,2778,0.00,Homeware,Independent Designer,Ternura Amigurumi,German,1,6,Intermediate
Charming Cap Sleeve Top - Free Crochet Pattern For Women in Paintbox Yarns Cotton DK,2779,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Adult’s Crochet V-Neck Vest in Caron Simply Soft - Downloadable PDF,2780,0.00,Adult’s Crochet V-Neck Vest in Caron Simply Soft - Downloadable PDF,Caron,,English,1,3,Beginner
FREE PATTERN -HALLOWEEN OCTOPUS-Frankie Amigurumi Crochet Pattern,2781,0.00,Amigurumi,Independent Designer,The CHLOE Box,English,1,4,Intermediate
Lavender Reverie Wrap in Cascade Ultra Pima - DK248,2782,0.00,Cardigans,Cascade Yarns,Kristen Stoltzfus,English,1,,
Mary Wave Baby Blanket,2783,0.00,Homeware,Independent Designer,Tracey Brown,English,1,2,Beginner
Northward,2784,0.00,Hats,Independent Designer,Tin Can Knits,English,1,3,Intermediate
Watermelon Key Chains Set,2785,0.00,Toys,Independent Designer,Roxy's Crochet,English,1,5,Beginner
Shellshock Blanket,2786,0.00,Homeware,Independent Designer,Cat IsCrafty,English,1,2,Beginner
Twinkle Trees,2787,0.00,Toys,Independent Designer,Rupinder  Kaur,English,1,4,Beginner
Lamb pattern,2788,0.00,Toys,Independent Designer,Tatiana Kucherovska,English,1,8,Intermediate
Teacup Kitten,2789,0.00,Toys,Independent Designer,Jennifer Beal,English,1,3,Intermediate
Jewelled Snowflake in Caron Simply Soft Party - Downloadable PDF,2790,0.00,Decorations,Caron,,English,2,2,Beginner
Granny Strawberry Dishcloth in Lily Sugar 'n Cream Solids,2791,0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
IRIS THE SPOOKTACULAR EYEBALL,2792,0.00,Toys,Independent Designer,Handmade by H-Monster,English,1,4,Beginner
Hearts,2793,0.00,Homeware,Independent Designer,Annemarie Benthem,English,1,8,Intermediate
Hexagon Bag,2794,0.00,Accessories,Independent Designer,Annemarie Benthem,English,1,6,Advanced
Soak Up the Sun Hat in Bernat Vickie Howell Cotton-ish - Downloadable PDF,2795,0.00,Hats,Bernat,,English,2,2,Beginner
Bubbles the Fish in Lily Sugar 'n Cream Solids and Ombre - Downloadable PDF,2796,0.00,Decorations,Lily Sugar 'n Cream,,English,7,2,Beginner
Dorothea blanket,2797,2.94,Homeware,Independent Designer,Dragana Savkov Bajic,English,1,12,Intermediate
Aidan's Elephant,2798,0.00,Toys,Independent Designer,Justyna Kacprzak,English,1,,Intermediate
Simple Texture Crochet Scarf in Caron Cakes - Downloadable PDF,2799,0.00,Scarves & Shawls,Caron,,English,1,1,Beginner
Shelly Hat in Cascade Ultra Pima - DK235,2800,0.00,Hats,Cascade Yarns,,English,1,3,Beginner
Free crochet pattern coasters,2801,0.00,Homeware,Independent Designer,Ternura Amigurumi,English,1,,Beginner
Puff mini skirt,2802,0.00,Puff mini skirt,Independent Designer,Mora's Crochet,English,1,,Beginner
Ewok,2803,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Skiing Penguin,2804,0.00,Toys,Independent Designer,Sarah  Reed,English,1,,Beginner
Cuppa' Coffee Pincushion,2805,0.00,Toys,Independent Designer,erinmaycrochet,English,1,,Beginner
Cleaner Levi from Attack on Titan,2806,0.00,Toys,Independent Designer,NerdyHook,English,1,12,Intermediate
Koala Bear,2807,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Colour Splash Cardi,2808,0.00,Cardigans,Independent Designer,Luna Crochet Designs,English,1,9,Beginner
Uppercase Alphabet Crochet Motifs Pattern,2809,0.00,Uppercase Alphabet Crochet Motifs Pattern,Independent Designer,Jenny Brown,English,1,15,Intermediate
Annabelle the Unicorn,2810,0.00,Toys,Independent Designer,Melissa's Crochet Patterns,English,1,6,Intermediate
Women's Twisting Lace Socks in Patons Kroy Socks FX - Downloadable PDF,2811,0.00,Socks,Patons US,,English,1,2,Intermediate
Crochet Chemo Cap in Bernat Handicrafter Cotton Solids - Downloadable PDF,2812,0.00,Hats,Bernat,,English,1,,
Spotty Puff Blanket,2813,0.00,Homeware,Independent Designer,Peach.Unicorn,English,1,2,Beginner
Del Rio Shrug in Cascade Yarns Noble Cotton - DK667 - Downloadable PDF,2814,0.00,Tops,Cascade Yarns,Kristen Stoltzfus Clay,English,1,6,Intermediate
Crocus Wrap,2815,0.00,Accessories,Independent Designer,Amanda Maciel,English,1,,Beginner
Square Top in Sirdar Kitten - 5397,2816,0.00,Tops,Sirdar,,English,1,,
Rattle Llama Lee in Hoooked Somen - Downloadable PDF,2817,0.00,Toys,Hoooked,Hoooked,Dutch|English|German,1,1,Beginner
Throw it in the Basket,2818,0.00,Homeware,Independent Designer,Biosha Thompson,English,1,3,Beginner
Toddlers Sweater,2819,0.00,Jumpers,Independent Designer,Annemarie Benthem,Dutch|English,1,9,Intermediate
Rose Petal Lace Shawl in Cascade Yarns Heritage Silk - FW261 - Downloadable PDF,2820,0.00,Shawls,Cascade Yarns,Kristen Stolzfus Clay,English,1,5,Intermediate
Autumn Leaves Afghan in Caron Simply Soft and Simply Soft Collection - Downloadable PDF,2821,0.00,Blankets,Caron,,English,1,2,Beginner
Among Us Mini Yellow Crewmate,2822,0.67,Toys,Independent Designer,Vitastoys,English,1,4,Intermediate
Crochet Eucalyptus,2823,0.00,Crochet Eucalyptus,Independent Designer,Roseanna Murray,English,1,3,Beginner
Irish Blessings Shawl in Cascade 220 Superwash Merino - W727 - Downloadable PDF,2824,0.00,Shawls,Cascade Yarns,Kristen Stoltzfus Clay,English,1,3,Beginner
Circle Takes The Square Crochet Blanket in Caron One Pound - Downloadable PDF,2825,0.00,Blankets,Caron,,English,1,2,Beginner
Dog Coat in Bernat Super Value,2826,0.00,Coats,Bernat,,English,1,,
Flower Blanket,2827,0.00,Blankets,Independent Designer,Annemarie Benthem,English,,5,Beginner
Pebble,2828,0.00,Accessories,Independent Designer,Olena Ivanchenko,English,1,7,Intermediate
Pandine & Pandina,2829,0.00,Toys,Independent Designer,Frucachet,English|Portuguese,1,22,Intermediate
Crochet Pattern for the Pokéball!,2830,0.00,Toys,Independent Designer,amigoll9,English,1,5,Beginner
Crocheted Pig Keyring,2831,0.00,Accessories,Independent Designer,CatKnit,English,1,,Intermediate
Granny Square Pillow,2832,0.00,Cushions,Independent Designer,Annemarie Benthem,English,1,5,Beginner
Corner to Corner Blanket in Bernat Happy,2833,0.00,Blankets,Bernat,,English,1,,
April square,2834,0.00,April square,Independent Designer,Kate Veselunka,English,1,5,Intermediate
Hippie Dog Sweater in Lion Brand Unique - L32306,2835,0.00,Pet Clothing,Lion Brand,,English,1,,
Potholders,2836,0.00,Homeware,Independent Designer,Annemarie Benthem,English,1,3,Beginner
Warm Up America Afghan in Lion Brand Homespun,2837,0.00,Blankets,Lion Brand,,English,1,,
"Crochet Doily ""SEASIDE""",2838,0.00,Homeware,Independent Designer,Barbara Summers,English,1,5,Intermediate
Eyeballs for Halloween,2839,0.00,Toys,Independent Designer,Elise Mann,English,1,5,Beginner
Crossrows Earwarmer,2840,0.00,Headbands,Independent Designer,K.A.M.E. Crochet,English,1,4,Beginner
Cozy Cowl Cape in Caron Simply Soft and Simply Soft Heathers - Downloadable PDF,2841,0.00,Ponchos,Caron,,English,1,1,Beginner
Blue Flower Brooch,2842,0.00,Accessories,Independent Designer,LillaBjörnCrochet,English,1,6,Intermediate
Show Stripes Sweater - Free Jumper Crochet Pattern for Women in Paintbox Yarns 100% Wool Chunky Superwash by Paintbox Yarns,2843,0.00,Sweaters,Paintbox Yarns,,English,1,6,Beginner
Among Us character toy,2844,0.00,Toys,Independent Designer,Ana Barreira,English,1,,Beginner
Spider crochet 2,2845,0.00,Homeware,Independent Designer,Olga Starostina,English,1,8,Beginner
Elloth Bunting,2846,0.00,Homeware,Independent Designer,K.A.M.E. Crochet,English,1,4,Intermediate
Crochet Snake Pattern,2847,0.00,Toys,Independent Designer,Libby Swindells,English,1,2,Intermediate
Free Pacifier Holder,2848,0.00,Free Pacifier Holder,Independent Designer,Ternura Amigurumi,English,1,4,Intermediate
Square Dance Crochet Blanket in Caron One Pound - Downloadable PDF,2849,0.00,Blankets,Caron,,English,1,2,Beginner
